id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,MagicRating
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,NA,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,Private room,59,3,278,2020-02-14,1.95,1,123,Low
20168,Studio with private bathroom in the centre 1,59484,Alexander,NA,Centrum-Oost,52.36509,4.89354,Private room,236,1,339,2020-04-09,2.58,2,3,High
25428,Lovely apt in City Centre (w.lift) near Jordaan,56142,Joan,NA,Centrum-West,52.37297,4.88339,Entire home/apt,125,14,5,2020-02-09,0.14,1,33,Low
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,NA,Centrum-West,52.38761,4.89188,Private room,135,2,219,2020-07-25,2.01,1,219,High
28871,Comfortable double room,124245,Edwin,NA,Centrum-Oost,52.3661,4.88953,Private room,75,2,336,2020-09-20,2.68,2,346,Low
29051,Comfortable single room,124245,Edwin,NA,Centrum-Oost,52.36607,4.891,Private room,55,2,481,2020-08-28,4.05,2,360,Low
31080,2-story apartment + rooftop terrace,133488,Nienke,NA,Zuid,52.35132,4.84838,Entire home/apt,219,3,32,2017-10-16,0.28,1,0,High
41125,Amsterdam Center Entire Apartment,178515,Fatih,NA,Centrum-West,52.37891,4.88321,Entire home/apt,160,4,89,2020-02-10,0.73,1,0,High
43109,Oasis in the middle of Amsterdam,188098,Aukje,NA,Centrum-West,52.37537,4.88932,Entire home/apt,211,3,60,2020-03-07,4.31,1,0,High
43980,View into park / museum district (long/short stay),65041,Ym,NA,Zuid,52.35746,4.86124,Entire home/apt,67,30,61,2018-02-18,0.5,2,184,Low
44129,Luxury design with canal view,187728,Tatiana,NA,Centrum-West,52.38071,4.8861,Entire home/apt,115,4,178,2020-10-26,1.42,1,86,Low
46386,Cozy loft in central Amsterdam,207342,Joost,NA,De Pijp - Rivierenbuurt,52.35247,4.90825,Entire home/apt,150,3,3,2018-01-03,0.02,1,0,High
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,NA,Centrum-West,52.38028,4.89089,Entire home/apt,146,2,368,2020-09-23,2.98,1,242,High
49790,Luxurous Houseboat-Great Location,227530,Klaas,NA,De Baarsjes - Oud-West,52.36266,4.86103,Entire home/apt,250,3,103,2019-05-14,0.88,1,365,High
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,NA,Bos en Lommer,52.37727,4.83925,Entire home/apt,115,4,17,2020-02-20,0.21,1,167,Low
50523,B & B de 9 Straatjes (city center),231946,Raymond,NA,Centrum-West,52.36932,4.88258,Private room,118,2,307,2020-10-05,2.54,1,0,Low
52490,Amsterdam Aqua,185836,VictorLuke,NA,Oostelijk Havengebied - Indische Buurt,52.37005,4.93869,Private room,75,2,102,2020-01-01,0.83,1,0,Low
53067,Spacious studio at the attic of a townhouse,246493,DoJo,NA,De Pijp - Rivierenbuurt,52.35339,4.90064,Private room,40,7,354,2020-03-15,2.89,1,0,Low
53671,Nice room near centre with en suite bath,247822,Georg,NA,Westerpark,52.38905,4.88559,Private room,95,3,309,2020-03-16,2.62,1,26,Low
55256,Luminous central room,260785,Lotte,NA,Centrum-Oost,52.37126,4.90351,Private room,90,1,179,2019-12-30,1.5,1,0,Low
55621,"Fully equiped house, PIJP area = great",262846,Bharati,NA,De Pijp - Rivierenbuurt,52.35386,4.89772,Entire home/apt,222,3,32,2020-08-06,0.26,1,0,High
55807,"Greatly located, cozy atmosphere",263844,Rai & Clo,NA,De Baarsjes - Oud-West,52.36966,4.86203,Private room,65,2,157,2020-01-15,1.28,1,256,Low
55868,Apartment near Museumplein (centre),264178,Cornelie,NA,Zuid,52.35613,4.88515,Entire home/apt,149,4,95,2020-01-03,0.78,1,109,High
58211,En Suite Apartment in a monumental canal house,278253,Marcel,NA,Centrum-West,52.36916,4.88445,Private room,141,3,122,2020-12-12,1.18,1,338,High
62015,"Charming, beautifully & sunny place with cat Luna",301340,Jessica,NA,Oud-Oost,52.36445,4.93124,Entire home/apt,135,3,30,2019-11-24,0.25,1,275,High
62801,Very nice appartment ALL of januari,306117,Jan,NA,Bos en Lommer,52.38459,4.85463,Entire home/apt,750,30,0,NA,NA,1,365,High
64736,Luxury Houseboat,306192,Conny,NA,De Baarsjes - Oud-West,52.36348,4.86783,Entire home/apt,189,3,103,2019-08-06,1.16,1,0,High
64769,Unique 3 bedroom house in Centre,312863,Marijntje,NA,Centrum-Oost,52.36225,4.902,Entire home/apt,450,4,27,2019-01-05,0.23,1,0,High
67841,Amsterdam - The Pijp Apartment 1A,335166,Dene,NA,De Pijp - Rivierenbuurt,52.35472,4.89324,Entire home/apt,106,2,16,2019-08-12,0.18,2,0,Low
68290,Rebel - Private Room,336950,Manuel,NA,Centrum-West,52.36887,4.89523,Private room,66,1,659,2019-10-25,5.55,3,23,Low
68873,Yves Klein - Private Room,336950,Manuel,NA,Centrum-West,52.3695,4.89556,Private room,59,1,579,2019-10-30,4.85,3,19,Low
70598,Attic room with doublebed available,339333,Nadira,NA,Noord-West,52.41433,4.92014,Private room,40,1,108,2020-08-09,1.87,1,0,Low
73208,Centre Museum Quarter Apt Roof Deck,381900,Vikki,NA,Zuid,52.35935,4.87672,Entire home/apt,220,5,62,2019-07-06,0.52,1,346,High
75382,Garden Suite Studiohttps://www.airbnb.com/manage-l,399879,Tina,NA,Oud-Oost,52.36482,4.92762,Private room,55,3,254,2020-07-29,2.18,3,14,Low
75444,Cottage Room- Completely Private,399879,Tina,NA,Centrum-Oost,52.36703,4.92879,Private room,70,3,324,2020-03-16,2.79,3,0,Low
75499,Red Studio Palamedes Amsterdam,400896,Edwin + Karin,NA,De Baarsjes - Oud-West,52.36145,4.87696,Private room,80,4,33,2018-01-04,0.3,2,346,Low
76459,Yellow Studio Palamedes Amsterdam,400896,Edwin + Karin,NA,De Baarsjes - Oud-West,52.36342,4.87558,Private room,80,4,16,2017-09-06,0.14,2,327,Low
76668,"studio INN, bright and spacious",409579,Guido,NA,Westerpark,52.38934,4.89089,Hotel room,145,3,64,2020-03-05,1.18,1,0,High
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,NA,Centrum-West,52.37876,4.89264,Private room,109,2,218,2020-01-01,1.84,2,0,Low
82482,The Backroom - Central private appt,186729,Shawna,NA,Centrum-West,52.36968,4.88122,Entire home/apt,106,2,858,2020-11-06,7.42,1,341,Low
82748,Bright apt in central Amsterdam,450453,Rudolf,NA,Centrum-West,52.37307,4.89343,Entire home/apt,249,3,131,2020-01-02,1.11,2,364,High
83814,Central Studio apartment in Trendy De Pijp,457263,Daniel,NA,De Pijp - Rivierenbuurt,52.35632,4.88921,Entire home/apt,45,2,157,2020-03-03,1.33,1,57,Low
84057,Bed&Bike SleepOnNature - free bikes,459028,Stefania,NA,De Baarsjes - Oud-West,52.36521,4.85136,Hotel room,72,3,94,2020-03-08,0.82,5,14,Low
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,NA,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,95,1,44,2020-03-13,0.38,1,0,Low
96048,De Baronie B&B in historic centre,510526,Tuhami,NA,Centrum-Oost,52.3727,4.90776,Private room,46,1,197,2020-10-11,2.77,3,0,Low
97221,Beautiful and spacious room,195859,Gianni,NA,Slotervaart,52.3491,4.83611,Private room,55,2,196,2020-03-24,1.71,2,357,Low
107195,"A'dam Centre, Bright and Comfy",249794,Marieke,NA,Centrum-Oost,52.37007,4.9196,Entire home/apt,150,2,37,2019-12-31,0.33,1,331,High
108890,Amsterdam at its best,563208,Jorien,NA,De Baarsjes - Oud-West,52.36083,4.85667,Entire home/apt,100,5,3,2018-05-30,0.07,1,0,Low
118097,"all private, city center @ home with art-1",538659,Wendie And Hans,NA,Centrum-West,52.36571,4.88464,Private room,43,4,398,2020-11-22,3.76,2,0,Low
