,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly structured discussions (Flow) messages ,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,wiki name
English Wikipedia,1,"857,711,498",71.8%,55.8%,1.8%,"6,315","135,822","30,924",421,26.2%,"5,078",7.0%,"4,126,576",13.4%,7.4%,5.7%,19.1%,11.8%,0.95,0,"5,996,691","403,123,640",67,left-to-right,enwiki,wikipedia,en,https://en.wikipedia.org,English,English Wikipedia
Spanish Wikipedia,2,"180,324,565",73.7%,67.1%,0.7%,"9,868","18,274","4,375",54,31.6%,"1,043",4.4%,"586,863",25.3%,11.6%,12.0%,30.9%,19.7%,0.96,0,"1,572,302","50,537,842",32,left-to-right,eswiki,wikipedia,es,https://es.wikipedia.org,Spanish,Spanish Wikipedia
German Wikipedia,3,"108,148,005",61.0%,49.4%,4.1%,"5,340","20,254","5,442",128,14.6%,449,6.6%,"757,880",12.9%,2.3%,5.4%,9.8%,9.2%,0.96,0,"2,386,937","94,215,900",39,left-to-right,dewiki,wikipedia,de,https://de.wikipedia.org,German,German Wikipedia
French Wikipedia,4,"97,530,501",66.8%,58.2%,1.5%,"5,017","19,440","4,966",108,18.4%,735,5.8%,"695,375",20.9%,4.2%,11.2%,14.3%,7.6%,0.96,"3,075","2,172,575","74,746,605",34,left-to-right,frwiki,wikipedia,fr,https://fr.wikipedia.org,French,French Wikipedia
Japanese Wikipedia,5,"101,191,566",74.4%,64.9%,0.9%,"7,210","14,034","4,719",30,29.6%,783,10.1%,"363,448",1.6%,17.0%,8.7%,28.2%,8.2%,0.93,0,"1,185,704","35,282,710",30,left-to-right,jawiki,wikipedia,ja,https://ja.wikipedia.org,Japanese,Japanese Wikipedia
Wikimedia Commons,6,"27,467,829",48.4%,25.9%,0.0%,775,"35,461","12,318",165,14.1%,"3,262",2.4%,"3,004,022",30.2%,1.1%,0.1%,1.3%,1.9%,0.97,0,"57,413,603","202,548,520",4,left-to-right,commonswiki,commons,en,https://commons.wikimedia.org,English,Wikimedia Commons
Russian Wikipedia,7,"91,825,021",63.1%,50.1%,1.5%,"7,563","12,142","3,413",100,27.5%,491,5.8%,"477,903",19.3%,4.7%,9.6%,19.0%,9.8%,0.96,0,"1,591,186","46,754,923",29,left-to-right,ruwiki,wikipedia,ru,https://ru.wikipedia.org,Russian,Russian Wikipedia
Italian Wikipedia,8,"52,331,427",71.8%,66.2%,2.2%,"5,783","9,049","2,500",96,35.3%,332,7.0%,"421,091",36.2%,10.4%,9.0%,28.3%,12.2%,0.97,0,"1,577,837","38,210,996",24,left-to-right,itwiki,wikipedia,it,https://it.wikipedia.org,Italian,Italian Wikipedia
Chinese Wikipedia,9,"42,411,681",65.5%,49.2%,1.4%,"5,011","8,464","2,767",41,28.3%,381,8.7%,"355,538",13.1%,11.0%,4.4%,22.0%,8.1%,0.96,"1,954","1,090,841","24,732,863",23,left-to-right,zhwiki,wikipedia,zh,https://zh.wikipedia.org,Chinese,Chinese Wikipedia
Portuguese Wikipedia,10,"70,476,778",76.1%,68.8%,0.5%,"10,895","6,469","1,554",87,30.7%,311,5.4%,"232,280",11.3%,8.2%,9.5%,24.8%,13.4%,0.96,189,"1,018,876","21,041,599",21,left-to-right,ptwiki,wikipedia,pt,https://pt.wikipedia.org,Portuguese,Portuguese Wikipedia
