,overall SIZE rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority mobile editors,monthly new active editors,second month editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly structured discussions messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,project code,language code,domain,language name
English Wikipedia,1,"869,914,444",70.0%,59.0%,2.0%,"4,365","199,314","46,055",417,26.0%,"7,694",7.0%,"4,529,572",15.0%,8.0%,7.0%,17.0%,11.0%,0.95,0,"6,247,251","618,711,611",99,left-to-right,enwiki,wikipedia,wikipedia,en,https://en.wikipedia.org,English
Spanish Wikipedia,2,"186,160,427",72.0%,66.0%,1.0%,"6,845","27,198","6,626",51,31.0%,"1,659",4.0%,"691,428",14.0%,12.0%,13.0%,27.0%,18.0%,0.96,0,"1,660,159","88,607,251",53,left-to-right,eswiki,wikipedia,wikipedia,es,https://es.wikipedia.org,Spanish
German Wikipedia,3,"107,424,164",60.0%,52.0%,4.0%,"3,723","28,853","7,887",132,15.0%,661,6.0%,"798,852",12.0%,3.0%,6.0%,10.0%,8.0%,0.96,0,"2,535,750","126,976,063",50,left-to-right,dewiki,wikipedia,wikipedia,de,https://de.wikipedia.org,German
Japanese Wikipedia,4,"108,153,973",74.0%,67.0%,1.0%,"5,035","21,482","7,386",33,31.0%,"1,330",9.0%,"431,370",7.0%,20.0%,11.0%,26.0%,7.0%,0.94,0,"1,253,293","62,561,325",50,left-to-right,jawiki,wikipedia,wikipedia,ja,https://ja.wikipedia.org,Japanese
French Wikipedia,5,"99,466,116",66.0%,60.0%,1.0%,"3,354","29,655","7,660",103,18.0%,"1,204",6.0%,"793,786",23.0%,4.0%,12.0%,13.0%,7.0%,0.96,"4,246","2,298,268","102,886,041",45,left-to-right,frwiki,wikipedia,wikipedia,fr,https://fr.wikipedia.org,French
Wikimedia Commons,6,"24,509,758",53.0%,32.0%,0.0%,411,"59,706","20,717",161,19.0%,"5,823",3.0%,"3,361,239",71.0%,2.0%,0.0%,1.0%,2.0%,0.97,0,"66,580,636","243,104,098",4,left-to-right,commonswiki,commons,commons,en,https://commons.wikimedia.org,English
Russian Wikipedia,7,"98,303,126",64.0%,55.0%,1.0%,"5,379","18,276","5,084",107,28.0%,802,5.0%,"498,921",16.0%,5.0%,11.0%,19.0%,10.0%,0.96,0,"1,698,397","67,875,812",40,left-to-right,ruwiki,wikipedia,wikipedia,ru,https://ru.wikipedia.org,Russian
Italian Wikipedia,8,"53,978,664",71.0%,70.0%,2.0%,"3,974","13,583","3,752",100,32.0%,536,6.0%,"462,810",30.0%,10.0%,10.0%,26.0%,11.0%,0.97,0,"1,673,574","61,804,215",37,left-to-right,itwiki,wikipedia,wikipedia,it,https://it.wikipedia.org,Italian
Chinese Wikipedia,9,"44,165,049",66.0%,51.0%,1.0%,"3,573","12,362","4,247",39,29.0%,607,9.0%,"407,257",19.0%,13.0%,4.0%,19.0%,8.0%,0.96,"2,215","1,176,599","37,144,011",32,left-to-right,zhwiki,wikipedia,wikipedia,zh,https://zh.wikipedia.org,Chinese
Portuguese Wikipedia,10,"71,085,840",75.0%,68.0%,0.0%,"6,687","10,630","2,476",83,34.0%,579,4.0%,"227,473",11.0%,11.0%,14.0%,18.0%,12.0%,0.95,234,"1,055,914","34,520,792",33,left-to-right,ptwiki,wikipedia,wikipedia,pt,https://pt.wikipedia.org,Portuguese
Arabic Wikipedia,11,"45,628,265",86.0%,85.0%,1.0%,"5,176","8,816","1,411",24,56.0%,495,4.0%,"148,093",82.0%,17.0%,16.0%,9.0%,18.0%,0.94,"1,954","1,102,237","12,524,317",11,right-to-left,arwiki,wikipedia,wikipedia,ar,https://ar.wikipedia.org,Arabic
Persian Wikipedia,12,"25,746,913",87.0%,85.0%,1.0%,"2,876","8,952","2,260",43,55.0%,759,6.0%,"166,165",30.0%,22.0%,14.0%,14.0%,16.0%,0.93,240,"767,500","10,090,213",13,right-to-left,fawiki,wikipedia,wikipedia,fa,https://fa.wikipedia.org,Persian
Polish Wikipedia,13,"28,821,668",63.0%,56.0%,1.0%,"4,123","6,991","1,949",75,19.0%,249,7.0%,"203,131",30.0%,4.0%,12.0%,14.0%,8.0%,0.96,271,"1,455,840","31,106,769",21,left-to-right,plwiki,wikipedia,wikipedia,pl,https://pl.wikipedia.org,Polish
Indonesian Wikipedia,14,"39,742,050",86.0%,85.0%,0.0%,"8,382","4,741","1,139",24,47.0%,363,4.0%,"84,995",26.0%,31.0%,16.0%,13.0%,11.0%,0.94,174,"559,771","6,368,937",11,left-to-right,idwiki,wikipedia,wikipedia,id,https://id.wikipedia.org,Indonesian
Dutch Wikipedia,15,"23,061,360",61.0%,57.0%,2.0%,"3,673","6,279","1,761",30,18.0%,231,4.0%,"176,099",16.0%,4.0%,7.0%,14.0%,9.0%,0.96,0,"2,045,217","29,167,621",14,left-to-right,nlwiki,wikipedia,wikipedia,nl,https://nl.wikipedia.org,Dutch
