"","id","name","host_id"
"1",2818,"Quiet Garden View Room & Super Fast WiFi",3159
"2",20168,"Studio with private bathroom in the centre 1",59484
"3",25428,"Lovely apt in City Centre (w.lift) near Jordaan",56142
"4",27886,"Romantic, stylish B&B houseboat in canal district",97647
"5",28871,"Comfortable double room",124245
"6",29051,"Comfortable single room",124245
"7",31080,"2-story apartment + rooftop terrace",133488
"8",41125,"Amsterdam Center Entire Apartment",178515
"9",43109,"Oasis in the middle of Amsterdam",188098
"10",43980,"View into park / museum district (long/short stay)",65041
"11",44129,"Luxury design with canal view",187728
"12",46386,"Cozy loft in central Amsterdam",207342
"13",49552,"Multatuli Luxury Guest Suite in top location",225987
"14",49790,"Luxurous Houseboat-Great Location",227530
"15",50515,"Family Home (No drugs, smoking or parties)",231864
"16",50523,"B & B de 9 Straatjes (city center)",231946
"17",52490,"Amsterdam Aqua",185836
"18",53067,"Spacious studio at the attic of a townhouse",246493
"19",53671,"Nice room near centre with en suite bath",247822
"20",55256,"Luminous central room",260785
"21",55621,"Fully equiped house, PIJP area = great",262846
"22",55807,"Greatly located, cozy atmosphere",263844
"23",55868,"Apartment near Museumplein (centre)",264178
"24",58211,"En Suite Apartment in a monumental canal house",278253
"25",62015,"Charming, beautifully & sunny place with cat Luna",301340
"26",62801,"Very nice appartment ALL of januari",306117
"27",64736,"Luxury Houseboat",306192
"28",64769,"Unique 3 bedroom house in Centre",312863
"29",67841,"Amsterdam - The Pijp Apartment 1A",335166
"30",68290,"Rebel - Private Room",336950
"31",68873,"Yves Klein - Private Room",336950
"32",70598,"Attic room with doublebed available",339333
"33",73208,"Centre Museum Quarter Apt Roof Deck",381900
"34",75382,"Garden Suite Studiohttps://www.airbnb.com/manage-l",399879
"35",75444,"Cottage Room- Completely Private",399879
"36",75499,"Red Studio Palamedes Amsterdam",400896
"37",76459,"Yellow Studio Palamedes Amsterdam",400896
"38",76668,"studio INN, bright and spacious",409579
"39",80635,"TOP LOCATED Canalhouse B&B Jordaan",436145
"40",82482,"The Backroom - Central private appt",186729
"41",82748,"Bright apt in central Amsterdam",450453
"42",83814,"Central Studio apartment in Trendy De Pijp",457263
"43",84057,"Bed&Bike SleepOnNature - free bikes",459028
"44",91535,"Privat room and shared Houseboat ""Ramona"" centre",494281
"45",96048,"De Baronie B&B in historic centre",510526
"46",97221,"Beautiful and spacious room",195859
"47",107195,"A'dam Centre, Bright and Comfy",249794
